Mandala,Sukta,Rishis,Devatas,Categories,Verse,Meter,Verse_DEV,Verse_IAST,Word_Index,Word_DEV,Word_IAST,Syllable_Index,Syllable_DEV,Syllable_IAST,Syllable_Onset,Syllable_Nucleus,Syllable_Coda,Syllable_Weight,Syllable_Swaras,Syllable_IAST_Letters,Letter_Index,Letter_Value,Letter_HasSwara,Letter_SwaraType,Letter_PhonemeClass,Letter_VowelLength,Letter_IAST_Index,Letter_IAST_Value,Letter_IAST_PhonemeClass,Letter_IAST_VowelLength
10,125,"Vagambrhni Prajaptim","Vac Devi","Atmastuti",1,"Tristubh"," अहं रुद्रेभिर्वसुभिश्चरामि । अहमादित्यैरुत विश्वदेवैः । अहं मित्रावरुणोभा बिभर्मि । अहमिन्द्राग्नी अहमश्विनोभा ॥"," ahaṃ rudrebhir vasubhiś carāmi । aham ādityair uta viśvadevaiḥ । ahaṃ mitrāvaruṇobhā bibharmi । aham indrāgnī aham aśvinobhā ॥",0,"अहं","ahaṃ",0,"अह","a","","अ","ह","heavy","udatta","a",0,"अ",false,"udatta","Vowel","Short",0,"a","Vowel","Short"
10,125,"Vagambrhni Prajaptim","Vac Devi","Atmastuti",1,"Tristubh"," अहं रुद्रेभिर्वसुभिश्चरामि । अहमादित्यैरुत विश्वदेवैः । अहं मित्रावरुणोभा बिभर्मि । अहमिन्द्राग्नी अहमश्विनोभा ॥"," ahaṃ rudrebhir vasubhiś carāmi । aham ādityair uta viśvadevaiḥ । ahaṃ mitrāvaruṇobhā bibharmi । aham indrāgnī aham aśvinobhā ॥",0,"अहं","ahaṃ",0,"अह","a","","अ","ह","heavy","udatta","a",1,"ह",false,"udatta","Aspirate","None",,"","",""
10,125,"Vagambrhni Prajaptim","Vac Devi","Atmastuti",1,"Tristubh"," अहं रुद्रेभिर्वसुभिश्चरामि । अहमादित्यैरुत विश्वदेवैः । अहं मित्रावरुणोभा बिभर्मि । अहमिन्द्राग्नी अहमश्विनोभा ॥"," ahaṃ rudrebhir vasubhiś carāmi । aham ādityair uta viśvadevaiḥ । ahaṃ mitrāvaruṇobhā bibharmi । aham indrāgnī aham aśvinobhā ॥",1,"रुद्रेभिर्वसुभिश्चरामि","rudrebhirvasubhiścarāmiahamādityairutaviśvadevaiḥ",0,"ररदरभरव","ru","र","र","दरभरव","heavy","udatta","ru",0,"र",false,"udatta","Liquid","None",0,"r","Liquid","None"
10,125,"Vagambrhni Prajaptim","Vac Devi","Atmastuti",1,"Tristubh"," अहं रुद्रेभिर्वसुभिश्चरामि । अहमादित्यैरुत विश्वदेवैः । अहं मित्रावरुणोभा बिभर्मि । अहमिन्द्राग्नी अहमश्विनोभा ॥"," ahaṃ rudrebhir vasubhiś carāmi । aham ādityair uta viśvadevaiḥ । ahaṃ mitrāvaruṇobhā bibharmi । aham indrāgnī aham aśvinobhā ॥",1,"रुद्रेभिर्वसुभिश्चरामि","rudrebhirvasubhiścarāmiahamādityairutaviśvadevaiḥ",0,"ररदरभरव","ru","र","र","दरभरव","heavy","udatta","ru",1,"र",false,"udatta","Liquid","None",1,"u","Vowel","Short"
10,125,"Vagambrhni Prajaptim","Vac Devi","Atmastuti",1,"Tristubh"," अहं रुद्रेभिर्वसुभिश्चरामि । अहमादित्यैरुत विश्वदेवैः । अहं मित्रावरुणोभा बिभर्मि । अहमिन्द्राग्नी अहमश्विनोभा ॥"," ahaṃ rudrebhir vasubhiś carāmi । aham ādityair uta viśvadevaiḥ । ahaṃ mitrāvaruṇobhā bibharmi । aham indrāgnī aham aśvinobhā ॥",1,"रुद्रेभिर्वसुभिश्चरामि","rudrebhirvasubhiścarāmiahamādityairutaviśvadevaiḥ",0,"ररदरभरव","ru","र","र","दरभरव","heavy","udatta","ru",2,"द",false,"udatta","Dental","None",,"","",""
10,125,"Vagambrhni Prajaptim","Vac Devi","Atmastuti",1,"Tristubh"," अहं रुद्रेभिर्वसुभिश्चरामि । अहमादित्यैरुत विश्वदेवैः । अहं मित्रावरुणोभा बिभर्मि । अहमिन्द्राग्नी अहमश्विनोभा ॥"," ahaṃ rudrebhir vasubhiś carāmi । aham ādityair uta viśvadevaiḥ । ahaṃ mitrāvaruṇobhā bibharmi । aham indrāgnī aham aśvinobhā ॥",1,"रुद्रेभिर्वसुभिश्चरामि","rudrebhirvasubhiścarāmiahamādityairutaviśvadevaiḥ",0,"ररदरभरव","ru","र","र","दरभरव","heavy","udatta","ru",3,"र",false,"udatta","Liquid","None",,"","",""
10,125,"Vagambrhni Prajaptim","Vac Devi","Atmastuti",1,"Tristubh"," अहं रुद्रेभिर्वसुभिश्चरामि । अहमादित्यैरुत विश्वदेवैः । अहं मित्रावरुणोभा बिभर्मि । अहमिन्द्राग्नी अहमश्विनोभा ॥"," ahaṃ rudrebhir vasubhiś carāmi । aham ādityair uta viśvadevaiḥ । ahaṃ mitrāvaruṇobhā bibharmi । aham indrāgnī aham aśvinobhā ॥",1,"रुद्रेभिर्वसुभिश्चरामि","rudrebhirvasubhiścarāmiahamādityairutaviśvadevaiḥ",0,"ररदरभरव","ru","र","र","दरभरव","heavy","udatta","ru",4,"भ",false,"udatta","Labial","None",,"","",""
10,125,"Vagambrhni Prajaptim","Vac Devi","Atmastuti",1,"Tristubh"," अहं रुद्रेभिर्वसुभिश्चरामि । अहमादित्यैरुत विश्वदेवैः । अहं मित्रावरुणोभा बिभर्मि । अहमिन्द्राग्नी अहमश्विनोभा ॥"," ahaṃ rudrebhir vasubhiś carāmi । aham ādityair uta viśvadevaiḥ । ahaṃ mitrāvaruṇobhā bibharmi । aham indrāgnī aham aśvinobhā ॥",1,"रुद्रेभिर्वसुभिश्चरामि","rudrebhirvasubhiścarāmiahamādityairutaviśvadevaiḥ",0,"ररदरभरव","ru","र","र","दरभरव","heavy","udatta","ru",5,"र",false,"udatta","Liquid","None",,"","",""
10,125,"Vagambrhni Prajaptim","Vac Devi","Atmastuti",1,"Tristubh"," अहं रुद्रेभिर्वसुभिश्चरामि । अहमादित्यैरुत विश्वदेवैः । अहं मित्रावरुणोभा बिभर्मि । अहमिन्द्राग्नी अहमश्विनोभा ॥"," ahaṃ rudrebhir vasubhiś carāmi । aham ādityair uta viśvadevaiḥ । ahaṃ mitrāvaruṇobhā bibharmi । aham indrāgnī aham aśvinobhā ॥",1,"रुद्रेभिर्वसुभिश्चरामि","rudrebhirvasubhiścarāmiahamādityairutaviśvadevaiḥ",0,"ररदरभरव","ru","र","र","दरभरव","heavy","udatta","ru",6,"व",false,"udatta","Semivowel","None",,"","",""
10,125,"Vagambrhni Prajaptim","Vac Devi","Atmastuti",1,"Tristubh"," अहं रुद्रेभिर्वसुभिश्चरामि । अहमादित्यैरुत विश्वदेवैः । अहं मित्रावरुणोभा बिभर्मि । अहमिन्द्राग्नी अहमश्विनोभा ॥"," ahaṃ rudrebhir vasubhiś carāmi । aham ādityair uta viśvadevaiḥ । ahaṃ mitrāvaruṇobhā bibharmi । aham indrāgnī aham aśvinobhā ॥",1,"रुद्रेभिर्वसुभिश्चरामि","rudrebhirvasubhiścarāmiahamādityairutaviśvadevaiḥ",1,"ससभशच","dre","स","स","भशच","heavy","udatta","dre",0,"स",false,"udatta","Sibilant","None",0,"d","Dental","None"
